"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Rnf145" 0.518539174729599 8.23790803631744 6.55675476051792 5.22198417201073e-10 1.03176332337437e-07 12.4708583786745
"Rfx2" 0.361787832091457 7.40474314243991 6.5555751789612 5.25565017139971e-10 1.03176332337437e-07 12.4646989900371
"Rho" -0.978445302827563 14.9283862250167 -6.54173434959451 5.66698426835542e-10 1.09748042634867e-07 12.3924778000601
"Map1b" 0.606009187281753 9.4060408058169 6.53900944982531 5.75161818265804e-10 1.0990192023423e-07 12.3782704306488
"Nme2" 0.665093028135555 7.97360245902653 6.53204987282432 5.97346194968954e-10 1.12639056843422e-07 12.3420004668124
"Klhl29" 0.480611565869825 7.55083158575841 6.50448713225846 6.93774826753248e-10 1.2912320834027e-07 12.1985918758194
"Atg16l1" 0.452105956425744 7.72229350692045 6.45999216127531 8.82662715801701e-10 1.62172299745566e-07 11.9678818518333
"Zfp516" 0.519510407511914 8.1645245390201 6.45214437147077 9.20863652656234e-10 1.67049329192614e-07 11.9272930807637
"Wwtr1" 0.334984147007364 7.39807780138336 6.44684183903786 9.47590199793611e-10 1.69748939415528e-07 11.8998858778239
"Fam57b" -0.656069527602887 10.4659423258265 -6.41410187912485 1.13032774517282e-09 1.99984282914465e-07 11.7309763459256
"Eif1" 0.619098080509586 10.5912739983473 6.36270746660538 1.489203691341e-09 2.6026558659278e-07 11.466921419505
"Lbh" -0.498264763158439 8.09162475008668 -6.34359839853666 1.64941958903491e-09 2.84793158198305e-07 11.3690862835586
"Cnnm4" 0.507005203945428 7.90537507782003 6.34104392369971 1.67208107220461e-09 2.85268974354336e-07 11.3560220013318
"Jun" 0.517374308366361 7.79121568857718 6.33701811780429 1.70841733970166e-09 2.88039163473699e-07 11.3354397343034
"Bst2" 0.560966205939769 7.50500353684743 6.32515299842805 2.44712944800142e-09 4.03101288727682e-07 11.0085816751476
"Hsph1" 0.391881134710889 7.61921786069022 6.27011948528972 2.43904789078226e-09 4.03101288727682e-07 10.9946397620743
"Ebpl" -0.633107662194176 8.74889353779493 -6.21361574336067 3.28884075881655e-09 5.35595192211364e-07 10.7086098867837
"Myo10" 0.502401000259385 7.7836550597555 6.20474394364359 3.44636593860995e-09 5.51426152130391e-07 10.6638519778066
"Slc16a3" -0.371048721202196 7.5402680503876 -6.20383006822403 3.46300702614857e-09 5.51426152130391e-07 10.6592438694549
"Gnb3" 0.596021947884427 9.54581277356804 6.11383583432768 5.55306088371447e-09 8.74515555214419e-07 10.2076321886497
"Hdc" -0.214540111561051 7.29038513107449 -6.08691862808976 6.39015102814809e-09 9.95404938960764e-07 10.0733981256724
"Rorb" -0.512788037899975 8.26371899068084 -6.05812629344366 7.42253813716671e-09 1.14378918326598e-06 9.93024658808843
"AW549877" 0.482188570918073 8.08207890344003 6.01987772775309 9.05017988129508e-09 1.37976731786e-06 9.74077749184159
"Rabgef1" -0.576103691824863 8.81348110366288 -6.0119999098336 9.42647351687997e-09 1.4220083365306e-06 9.70185305690262
"Impg2" 0.740092545547162 8.98468090104112 5.9830240117873 1.10034322686304e-08 1.63799050136788e-06 9.55440860026973
"Abca4" -0.562938356275164 9.8728046917943 -5.98056247376202 1.10868103155875e-08 1.63799050136788e-06 9.54685970290874
"Sag" 0.64836800073947 12.8845003552686 5.97757014154544 1.12590279151483e-08 1.64374376689622e-06 9.53213524045523
"Nap1l1" 0.461359204118539 8.96225732489265 5.97591945449899 1.13551484838968e-08 1.64374376689622e-06 9.52401476952522
"Cd47" 0.538835888363155 7.94067109611734 5.9634168099517 1.21097539113882e-08 1.73544883304104e-06 9.4625575619252
"Hmgb2" -0.468594700972395 7.95382779403924 -5.93072274639685 1.4322846584618e-08 2.0322843010313e-06 9.30225840241243
"Asns" 0.281983346116178 7.4250793141351 5.92132748784524 1.50289928565967e-08 2.11157349635183e-06 9.25630342919204
"Abcg1" -0.418373458666021 7.85337896514065 -5.909885867719 1.59350829002805e-08 2.21714245673708e-06 9.20040566135118
"Slc1a4" 0.242322339391442 7.30763219681589 5.90350607214347 1.64633163355349e-08 2.26861333081298e-06 9.16926911765237
"Tars" 0.406196739864637 7.68717117548968 5.90007738532239 1.67542468735279e-08 2.28671535185265e-06 9.15254485610924
"R3hcc1l" 0.385280312674135 7.58489988862056 5.89315322278535 1.73572015635206e-08 2.34666090195107e-06 9.11879065097297
"Ckb" -0.60551772246886 10.5564071712418 -5.87682257377356 1.88646410422809e-08 2.52662776427035e-06 9.03928795110948
"Ptp4a3" 0.593752386474303 9.88240498012557 5.86121549533871 2.04246681479042e-08 2.71023999284829e-06 8.96344814517687
"Trim25" 0.334899753386895 7.47013796252618 5.85522249154061 2.10566688234953e-08 2.76846899916983e-06 8.93436274570044
"Ndufa4" -0.614866983917077 10.8517744419828 -5.85242280293566 2.13584335128379e-08 2.782615551568e-06 8.92078218282352
"Tnnt2" 0.210772439403338 7.25484958308969 5.84077114177523 2.26604071134807e-08 2.92564229138101e-06 8.86431065015559
"Eif1a" 0.475089344668418 7.99914665820816 5.82927274784443 2.40212623497934e-08 3.06320812838226e-06 8.80865740429647
"Mast2" -0.438645410450467 7.98785787769536 -5.82819034123259 2.41534099858485e-08 3.06320812838226e-06 8.80342232627635
"Gnb1" -0.756839827717488 12.483316542666 -5.82032714074111 2.51349863345329e-08 3.1597323610543e-06 8.7654118181297
"Flcn" 0.443894267245379 8.26945099196956 5.81792713282477 2.54422806781146e-08 3.17055064693965e-06 8.75381724858904
"Hsp90aa1" 0.533104802250838 11.0491372271645 5.81342488313268 2.60286883150443e-08 3.21566493312844e-06 8.73207548199796
"Glul" -0.840985374442966 8.81630760130687 -5.83486885169943 3.03675955515505e-08 3.71964112691683e-06 8.60342097917609
"Tpi1" -0.580104425949365 9.64375112565421 -5.77542460567039 3.1534284816102e-08 3.81878979032542e-06 8.54902989461776
"Hook2" 0.337380774078202 7.50151832683635 5.77238861758925 3.20203004990546e-08 3.81878979032542e-06 8.53444135319157
"Osmr" 0.273915869663247 7.32323624227529 5.77128695700218 3.21984645314227e-08 3.81878979032542e-06 8.52914895819588
"Crym" 0.443754160036009 7.70927519837825 5.7710128804874 3.22429394061388e-08 3.81878979032542e-06 8.52783239853472
"Rncr4" -0.4308478433765 7.80292152029199 -5.75894644383877 3.42616556887832e-08 4.02462121045862e-06 8.46991260844719
"Drd4" -0.519596601432902 8.8215877839549 -5.73013289259556 3.9595141604069e-08 4.61331686445457e-06 8.33194482786876
"Hspe1" 0.463056851122343 8.52396288400811 5.70195373331329 4.5592588903849e-08 5.26925315791178e-06 8.19747943838703
"Lmo1" 0.482084388147636 7.83337560839929 5.66410901378264 5.50613680649162e-08 6.31267572590652e-06 8.01761917444319
"Tnfaip3" -0.498427675176359 8.27389220231679 -5.65216949693989 5.84289511980922e-08 6.64559761603063e-06 7.96104943651385
"Gpi1" -0.476031677416389 9.54629076715045 -5.58583369862679 8.11367089538871e-08 9.15567067730832e-06 7.64827804697679
"Aldh18a1" 0.29745679890677 7.42292292635314 5.57875577099191 8.40167880533084e-08 9.4065983561872e-06 7.61505965464311
"Gchfr" -0.224642241107422 7.31473769811583 -5.52933363454287 1.07099917510017e-07 1.18980536266361e-05 7.38394265478934
"Glb1l2" -0.434668695940074 8.13584027393958 -5.50673847215757 1.19613488295993e-07 1.3186006928999e-05 7.27876655935721
"Ssu72" -0.545479261997299 9.13068683563847 -5.49690980381192 1.25491709376192e-07 1.37284098249635e-05 7.23311197609584
"Mthfd2" 0.244190933352766 7.35047042306259 5.49438313763677 1.27047780312918e-07 1.37933465126093e-05 7.22138492365986
"E130310I04Rik" -0.342760129615958 7.59275706656888 -5.4813484386063 1.35379059278566e-07 1.45873481091815e-05 7.1609480813771
"A2m" 0.665757712196583 7.61583088565917 5.49761927948148 1.62940371971825e-07 1.74261079905092e-05 7.00593042062342
"Lrrc2" 0.369702515606825 7.52288720999913 5.43439056555793 1.70044509079359e-07 1.80511693304911e-05 6.94407709224114
"Scg5" -0.521372065034921 8.8396395087099 -5.41128654359627 1.90137782983391e-07 2.00357688818748e-05 6.83786647120866
"Aars" 0.454655170366263 8.27721073427684 5.38319955545959 2.17695224024436e-07 2.2772191645943e-05 6.70918958343807
"Dnttip2" 0.416951194446789 7.85027783420706 5.38125559728254 2.19740248193631e-07 2.28195470787169e-05 6.70030154204252
"Gm11961" -0.270583816053873 7.42176812840581 -5.37584986811877 2.25525877810077e-07 2.32518802510519e-05 6.67559805395708
"Cp" 0.428988753465527 7.55049738757484 5.37350141707402 2.28085353900164e-07 2.33477943338803e-05 6.66487154825212
"Nt5e" -0.426033719926301 8.05468832323648 -5.36819882733222 2.33968907442541e-07 2.37573332443659e-05 6.64066458665296
"D1Ertd622e" -0.435222335812531 8.18237580895103 -5.36692721029015 2.35401669157767e-07 2.37573332443659e-05 6.63486208201858
"Hnrnpc" 0.402159924094844 8.64993576910268 5.35287340626093 2.51816558963926e-07 2.5236245500084e-05 6.57079985360493
"Amotl2" 0.337695062119957 7.5033500695928 5.3483205870768 2.57369406983637e-07 2.56136178575173e-05 6.55007269728425
"Bnip3" -0.423506598623001 7.98568815963378 -5.33073953546212 2.79952991530327e-07 2.76690091146284e-05 6.47015388268759
"Ppp2r2b" 0.457010223144392 8.47035610417633 5.3289510680561 2.82355635532873e-07 2.77153329645315e-05 6.46203473765215
"Xiap" -0.473848319737993 8.62895702377183 -5.31851116740965 2.96786444987426e-07 2.87150251989312e-05 6.41468019280492
"Rab6b" 0.403624915376259 8.0567964808779 5.31772972425497 2.97895033958503e-07 2.87150251989312e-05 6.41113835899343
"Pfkp" -0.541907794825303 8.86779886302207 -5.31726845207694 2.98551305187408e-07 2.87150251989312e-05 6.40904785518761
"St13" 0.42759205458127 8.36732503569591 5.30157785416573 3.21732478137767e-07 3.05709763010245e-05 6.33801644792932
