"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Kcnj14" -0.927273390416909 9.23054211113608 -10.5049632877567 2.1186544744197e-20 3.03624372729087e-16 35.2099301724692
"Pkm" -1.10929289544183 11.0096107010323 -9.88407445298203 1.19952564105232e-18 8.59520098096041e-15 31.3741480980324
"Reep6" -1.25404695570371 9.92136105841618 -9.57359912703111 8.80704311554049e-18 3.21852529649133e-14 29.4783613921591
"Pgam1" -0.890362300835368 9.92658682045737 -9.55369419085273 1.00014372567477e-17 3.21852529649133e-14 29.3574039654187
"Eno1" -0.984133305544664 9.61759747358182 -9.53556018613768 1.12292418410834e-17 3.21852529649133e-14 29.2472723385029
"Pdc" -1.5522532345433 10.61791736931 -8.78537081387453 1.26734607914835e-15 3.02705611004584e-12 24.7509529525097
"3010001F23Rik" -0.415993579732066 8.52636074356655 -8.75490689374312 1.53104752008755e-15 3.1344917157678e-12 24.5710892949331
"Rcvrn" -1.37275813090995 10.7561610890971 -8.46259068995178 9.27103888109626e-15 1.66079072756238e-11 22.8574536952027
"Gapdh" -1.08581339698835 11.8193340054757 -8.21818394961119 4.10064000444197e-14 6.26810751102307e-11 21.4428001165856
"Gnb1" -1.54178624132156 11.9190481535531 -8.19972965129633 4.58444546022591e-14 6.26810751102307e-11 21.3366953660022
"Rho" -1.93784610491465 13.8413146040927 -8.1917359872995 4.81119130704444e-14 6.26810751102307e-11 21.2907668871807
"Gnat1" -1.74911565629345 12.3509102605904 -7.76680896055131 6.0773940130296e-13 7.2579278000606e-10 18.878317948099
"Fam57b" -0.961170653109637 9.8373166869118 -7.64478162411599 1.24466983014623e-12 1.37210487198659e-09 18.1966443891139
"Pde6g" -1.58533288076081 11.8891737579746 -7.59082387186259 1.70598245475237e-12 1.7463167542183e-09 17.8968970219598
"Fscn2" -0.484018865134064 8.77542154976745 -7.56678169037378 1.96260517015636e-12 1.87507297956739e-09 17.7636739485727
"AI847159" -0.648239985421206 8.93663152932907 -7.50886682630005 2.74821188126401e-12 2.46153902939966e-09 17.443617441285
"Ndufa4" -0.876288069333274 10.9280231338913 -7.48165604433332 3.21780830893484e-12 2.71261240443207e-09 17.2936668984836
"Hmgb2" -0.375847009945745 8.57393681697486 -7.40276991103859 5.07555687336656e-12 3.87652282152843e-09 16.8605078153508
"Aldoa" -0.891353676965366 11.3935333353404 -7.40059753475317 5.13948319091761e-12 3.87652282152843e-09 16.8486125434777
"Rpe65" -0.909633255769152 9.26692947488391 -7.38577751605803 5.59733291475072e-12 4.01076890006463e-09 16.767510393488
"Slc17a7" -0.843886044640964 10.0062520366198 -7.25807728023716 1.16354526926129e-11 7.94036535894454e-09 16.0721705931538
"Osmr" 0.581124738502905 8.7532022305707 7.12967518369515 2.41252461767193e-11 1.57154046799348e-08 15.3794767252493
"Nrl" -1.05107840947434 10.4436605457928 -6.93933571999617 7.02189154569719e-11 4.37524903223419e-08 14.3650418912411
"Serpina3n" 1.31869174841976 9.18001781117108 6.88568118526077 1.3283487136804e-10 7.69555512899023e-08 13.772228465685
"Pde6a" -0.989631406416001 10.2691259379317 -6.82250470744838 1.34246652867738e-10 7.69555512899023e-08 13.7499789253716
"Cngb1" -0.839795964754986 9.80306353510307 -6.81445874660745 1.40342925782976e-10 7.73559411306088e-08 13.7078388425265
"Grtp1" -0.481931960979334 8.78269222288756 -6.72983657285683 2.23500786229178e-10 1.18629250646309e-07 13.266369363909
"Prcd" -0.785674496102602 9.60377096009703 -6.71795775176949 2.38525715031311e-10 1.22082572218347e-07 13.204653526002
"Impdh1" -0.763789155715957 9.63509745386693 -6.69394602584375 2.71998782966158e-10 1.34414295127173e-07 13.0800955686513
"Prph2" -1.14767427613955 11.3225647554871 -6.66731306037082 3.14550979090643e-10 1.502610027116e-07 12.9422450489018
"Gm47283" -0.540269644185517 9.07366458771778 -6.63463729440797 3.75789307476516e-10 1.73723760175676e-07 12.7735581667908
"Rom1" -1.17843178730875 11.2695321524892 -6.62504616953058 3.95894588727045e-10 1.77298917220227e-07 12.7241371988927
"Agpat3" -0.793671609692762 10.1021225193238 -6.55497829595736 5.78598300250565e-10 2.51269461845177e-07 12.3643801725094
"Rgs9bp" -0.594735290713596 9.1953874987855 -6.54922149909928 5.96860242599645e-10 2.5157659225575e-07 12.3349237728353
