"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Edn2" 1.47477216265119 7.67433819374163 19.8218145085355 7.798929491554e-42 1.1176645854346e-37 82.3562115405548
"Fgf2" 1.09167244386545 7.68653162158422 14.0554082589143 3.18214009532646e-28 2.28016248530618e-24 52.8069078309094
"Bst2" 0.97023387823719 7.59131947360144 12.8586137394483 3.22336675967505e-25 1.00816185403393e-21 46.1928329371043
"3010001F23Rik" -1.15364877028427 8.19116535590693 -12.8243509770156 3.93473963627851e-25 1.00816185403393e-21 46.0018915789786
"Cebpd" 0.933491272736543 7.61303346147913 12.8176228205176 4.09190745425712e-25 1.00816185403393e-21 45.964387778567
"H2-D1" 1.30415194276876 8.08317972354536 12.8122914468294 4.22089953541522e-25 1.00816185403393e-21 45.9346678358481
"Mt1" 1.40010013816593 9.77165498041755 11.3487063264589 2.19351828377054e-21 4.49075864638794e-18 37.726329754598
"Gnb3" 1.21276219008782 9.67791192939861 11.2456048734871 4.01204907640509e-21 6.50890826833104e-18 37.146011163925
"B2m" 1.18986027509102 8.10334356497278 11.2424167686193 4.08765434477562e-21 6.50890826833104e-18 37.128065962334
"AI847159" -1.05577056306702 9.01908599027524 -10.1673977191105 2.18060924384647e-18 3.12503110735638e-15 31.0865533467976
"Trf" 1.64555076457433 9.32876502148407 9.87486571589225 1.1917730090086e-17 1.55266354473656e-14 29.4508985344203
"H2-K1" 0.977990355317183 7.86054994061795 9.61584489352971 5.33004374050841e-17 6.36540473710217e-14 28.007951229975
"Gadd45b" 0.577820584917942 7.45965284975463 9.58968765046226 6.19827296410961e-17 6.83288075758883e-14 27.8625613358613
"Mt2" 0.949379044745471 8.02772398762749 9.57077254676716 6.91266826335791e-17 7.07610349158444e-14 27.7574657076712
"Tyrobp" 0.766967798015243 7.54079645530494 9.44589793293915 1.41904177388715e-16 1.35575251077178e-13 27.0645240853021
"Agtpbp1" 0.974193332398724 8.34485267015425 9.39665084262928 1.8835263589183e-16 1.68705101560364e-13 26.7916886697772
"Lgals3bp" 0.687838919199839 7.61760714736496 9.33418451224353 2.6963916463083e-16 2.2730581578379e-13 26.4459960745459
"Rabgef1" -1.00275747976305 8.78171761265321 -9.25525519504154 4.24000999484425e-16 3.37575462422849e-13 26.0098286121035
"C1qa" 0.699252937694326 7.53468744204362 8.93050951659169 2.70674945264633e-15 2.04160138978287e-12 24.2234599062612
"Bcl3" 0.415762234798386 7.32766156591195 8.61731500301131 1.5937361105791e-14 1.14199161003545e-11 22.5149824407747
"Abca4" -1.08264696644683 9.80707038812203 -8.57312543194231 2.04400201996073e-14 1.39488537847891e-11 22.275207838102
"Rho" -1.51009763721641 14.9159411684589 -8.48695848837476 3.31715132615909e-14 2.16082252978118e-11 21.8086420166942
"Ctsd" 1.33727996667143 9.28197202746266 8.38351191098292 5.92148079952909e-14 3.68959744948049e-11 21.2502895812588
