"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Fgf2" 1.50531733251629 7.75339987176336 17.8103014290531 1.15694412384244e-41 1.65801662387859e-37 83.045730029985
"Arl6" 1.70419948217212 9.19158361749773 16.5369162306674 4.87854327491851e-38 3.49572018364286e-34 75.0129990866444
"Agtpbp1" 1.44657056583728 8.48584877459655 14.9222615319584 2.32854197339272e-33 1.1123445006897e-29 64.6105273255399
"Gnb3" 1.48450003966002 9.82307302865767 14.6579696399248 1.37869059595576e-32 4.93950373266049e-29 62.8899828243398
"Edn2" 1.60543034844465 7.64504523162088 14.9992027527033 2.50136267904118e-32 7.16940571066783e-29 62.2900538964551
"3010001F23Rik" -1.12661891291555 7.88404078647664 -14.4411829207225 5.94301385081604e-32 1.41948885826741e-28 61.4758644057762
"Sag" 1.24776124124199 13.0679990368067 12.4062375887365 5.59343668681179e-26 1.14513630226714e-22 48.1391824679052
"Hk1" 1.16153974143562 9.64475891950506 12.3762824899622 6.84663740142336e-26 1.22648950749748e-22 47.9428947446061
"Sec22c" 0.99225172598703 7.79106153779766 12.0857692539779 4.85409985188559e-25 7.72934499748583e-22 46.0408555828603
"Impg2" 1.29272637819968 9.08015666717266 11.8328769312734 3.50242228447681e-24 5.01932137588371e-21 44.1228952881916
"H2-D1" 1.1809090886863 7.96353728753997 11.7409026624966 9.22117724229525e-24 1.20135173690303e-20 43.1849031294804
"Ptp4a3" 1.07125918169202 9.9818071798124 11.5353738066477 1.95873966397817e-23 2.33922484370592e-20 42.4486969397962
"Cd47" 0.928762175100334 7.90951460437505 11.2039056137285 1.79562842581007e-22 1.97947315156032e-19 40.2955643237232
"Pcdh15" 0.898666518507135 7.9599468720707 11.1506433462138 2.56105010548874e-22 2.6216006472685e-19 39.9504797183206
"Rfx2" 0.610251865479614 7.27562753819966 10.8969334707993 1.38405400232939e-21 1.3223251938255e-18 38.3105869713567
"Atp1a1" 0.991186724485 8.58257019160011 10.6046760919176 9.57493052064014e-21 8.57614558070587e-18 36.4304806172529
"Bst2" 0.83026756541893 7.38270716601469 10.6249325446463 1.03759781674895e-20 8.74694959519362e-18 36.355222455632
"Kcnj14" -0.993726714961109 9.20346367486712 -10.5499990968465 1.37324504511853e-20 1.09333193008854e-17 36.0799246561979
"Stat3" 0.889668932659311 7.71358959270244 10.3750667554946 4.34089566832016e-20 3.27417767487875e-17 34.9611000779984
"Cebpd" 0.99745583835777 7.49489542400771 10.4536612772428 7.16778809253287e-20 5.13607855770443e-17 34.4885411308778
"Rnf144b" 0.737229932997216 7.50252434644084 10.1752907616565 1.60675506904701e-19 1.09649556640537e-16 33.6888438938599
"Glo1" 1.03558646147931 9.22421277644583 10.1505188719602 1.88900950069466e-19 1.23051796156615e-16 33.531517703668
"AI847159" -0.91877398155523 8.8111281542557 -9.88103319092327 1.09118471217646e-18 6.79902961313077e-16 31.8266289533334
"Igsf11" 0.706304897282043 7.52881051066191 9.62553285358909 5.68443516803934e-18 3.39431834971549e-15 30.2223037549709
"Dcps" 0.710457285979207 7.63069343111248 9.4732848377299 1.5104749055086e-17 8.65864634833749e-15 29.2724353598812
