"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Rho" -3.24656029242936 13.3530901748599 -12.2759138505932 2.03505004239021e-24 2.91643021574941e-20 44.3046234855683
"Nrl" -1.73794143691863 10.1209849627081 -11.4650675583373 3.0078546801286e-22 1.12732386138161e-18 39.5272249397438
"Pde6g" -2.40949475215225 11.5795152510403 -11.4595910078296 3.11097282699531e-22 1.12732386138161e-18 39.4949600393842
"Reep6" -1.59325928880996 9.77681392150344 -11.4577444407325 3.14653230446336e-22 1.12732386138161e-18 39.4840811491308
"Kcnj14" -1.12703712872356 9.08990682918139 -10.9564098213601 6.85411400971704e-21 1.9645261574651e-17 36.5333389314955
"Gnat1" -2.42054368644457 12.133080821812 -10.6370123545672 4.84846271683544e-20 1.15805531991615e-16 34.6582868182196
"Rom1" -1.87705122898475 10.9652182879626 -10.5620879514619 7.6646235931229e-20 1.56916743875778e-16 34.219229214002
"Prph2" -2.02207257248812 10.9336549186187 -10.5181298848712 1.00251962253475e-19 1.7958885888182e-16 33.9617972894328
"Gnb1" -1.97431878691199 11.7861838811129 -10.4375954730747 1.63887438341549e-19 2.6096343098586e-16 33.4904953382351
"Guca1b" -1.63450694281001 10.0740680859493 -10.3518848410503 2.7635179872846e-19 3.96039762757755e-16 32.9894040509297
"A2m" 1.34871480213576 9.05805771240651 9.92167636912568 4.27370296663289e-18 5.56785792861963e-15 30.3630142037506
"Pdc" -1.9677374026522 10.4838002010969 -9.58962893654933 6.58298610586385e-17 7.86173115692791e-14 27.7464671327541
"Unc119" -1.537804433267 11.0883678441103 -9.28104627193031 1.76714418043244e-16 1.94807255767517e-13 26.7893798711087
"Guca1a" -1.41785486794018 10.0864740516584 -9.0787714036877 5.88145390984506e-16 5.90564397305725e-13 25.6349014694067
"Pde6a" -1.41933309821617 10.0554549564334 -9.07038056963473 6.1813313513264e-16 5.90564397305725e-13 25.5871537394198
"Pde6b" -1.46034279511949 10.0071664050323 -8.92439394349984 1.46542254491303e-15 1.31256065569679e-12 24.7583491205177
"Tulp1" -1.2006255406619 9.70041500461632 -8.58022855529788 1.10332806402585e-14 9.30105557973792e-12 22.8200090478745
"Agpat3" -1.12653758665239 9.90289188170116 -8.50804210921282 1.67973782151816e-14 1.33735126223204e-11 22.4164679197735
"Nxnl1" -0.763484350902313 8.77780107943124 -8.49244256768281 1.83917307939763e-14 1.38722049478144e-11 22.3294082040689
"Gngt1" -2.05230944431045 12.0437768977871 -8.48359207152188 1.93622255779814e-14 1.38740027379026e-11 22.2800376834632
"Rcvrn" -1.57995340796271 10.6986828059872 -8.41238227949381 2.92659347038507e-14 1.99719100114707e-11 21.8834328492534
"Kcnb1" -1.05050193473679 9.49859453602684 -8.36982538005323 3.74404413746248e-14 2.43890438790794e-11 21.6469490466172
"Fam57b" -1.14369798970171 9.72641719098312 -8.20395927076196 9.73907153281504e-14 6.06828844072923e-11 20.7292364844735
"Serpina3n" 1.12603300870009 8.71028252575219 8.30826197433173 1.19031186337661e-13 7.10764971418757e-11 20.5559852573791
"Rgs9bp" -0.837254021685913 8.98866299885371 -8.13147714555992 1.47580593337955e-13 8.45990993250493e-11 20.33026952851
"Pgam1" -0.921207722989489 9.87759082115628 -8.11633999188096 1.60936567352054e-13 8.8706997950857e-11 20.2471131111319
"Slc17a7" -1.12529833761145 9.83640985183696 -8.03631437690766 2.54181909664641e-13 1.3491410916311e-10 19.8084501399009
"Rdh12" -0.70531463873229 8.83125913095026 -7.95544123344274 4.02713286438114e-13 2.0611728956945e-10 19.3668180401259
"Cngb1" -1.08612738450814 9.64632161816501 -7.80855566879642 9.24704785705585e-13 4.56963595998163e-10 18.5691793318711
"Grk1" -0.984113072229045 9.2201192853508 -7.78608670177097 1.04953139554204e-12 5.01361147650433e-10 18.4476893654332
"Bst2" 0.667732269020983 8.59356968686643 7.71452222895656 1.56938397484308e-12 7.25511023983103e-10 18.0616927685482
"Vtn" -1.08373274083142 9.6375598128153 -7.69436337805252 1.75724825216388e-12 7.86972646930016e-10 17.953227577952
"Rabgef1" -0.618083185702445 8.63536054100689 -7.62291616122928 2.62088569300611e-12 1.13817917777184e-09 17.5697611346802
"Faim" -0.63068261156898 8.61702357375532 -7.6121404253742 2.7833987137871e-12 1.17320255786126e-09 17.5120574307245
"3010001F23Rik" -0.455601716637943 8.35669651794262 -7.47749281201172 5.88504442008099e-12 2.40967347383373e-09 16.7939913888141
"Pkm" -0.976363312975364 11.0802846568982 -7.46631118092125 6.26099722995891e-12 2.49239864729281e-09 16.7346119622317
"Impdh1" -0.934091404407563 9.49637473798942 -7.30946219435233 1.48614233817759e-11 5.75619076984407e-09 15.9058731837962
"Grtp1" -0.575555141165096 8.6034919851342 -7.26028823618406 1.94553060667836e-11 7.33721029587043e-09 15.6477059191338
"AI847159" -0.737337310210145 8.7955094439454 -7.19358062615408 2.80002198395867e-11 1.02890038595158e-08 15.2987824649992
"Rbp3" -1.35138867668973 10.9513423561894 -7.12011832218801 4.17378834312532e-11 1.49536401863322e-08 14.9162893043967
"Tma7" -1.19847812874657 11.4443408608033 -6.92793082680171 1.17535227261146e-10 4.10828619970605e-08 13.9246688445555
"Abca4" -0.819014391102167 9.37930604462348 -6.81865764337695 2.10475566529221e-10 7.18172700935779e-08 13.3669072157119
"Tyrobp" 0.576735127629106 8.52149054765933 6.77457262674049 2.65907330138285e-10 8.86213476328315e-08 13.1431685281315
"Hexb" 0.514681300789351 8.49481416487789 6.72554808110772 3.44550760779249e-10 1.12221748925623e-07 12.8952445946206
"Uckl1os" -0.412626130220303 8.39156082016882 -6.69580485389196 4.03016617191564e-10 1.28347358688273e-07 12.7452877900247
"Prcd" -0.883652810467316 9.5008374935928 -6.67715131070835 4.44565868855491e-10 1.38501597099305e-07 12.6514204064077
"Samd11" -0.729283655465357 9.00162911168844 -6.6416456027179 5.35651280623072e-10 1.63328053247005e-07 12.4731334674128
"Ldha" -0.889012524112397 10.5205324477937 -6.61865610985814 6.04195388152348e-10 1.80390085575235e-07 12.3579647286677
"Osmr" 0.434714321120268 8.3912581493046 6.60389363724046 6.52694256129756e-10 1.90893089481541e-07 12.2841228374067
"Spp1" 0.768252238403356 8.67623456165937 6.55722195413781 9.28789248672638e-10 2.66209574454551e-07 11.9524433860466
"Slc6a6" -0.760216382034839 9.3009553604512 -6.52871425370901 9.65790028701495e-10 2.7138699806512e-07 11.9094554302366
"Ndrg3" -0.716641328771052 9.11545221741234 -6.52166874762747 1.00179602117951e-09 2.76091130375454e-07 11.8744623941712
"Pde6h" -0.775745402096478 9.29696858087314 -6.49677018268804 1.13995089050397e-09 3.082384190908e-07 11.7509636059519
"Gramd2" -0.32678475891222 8.24301241896569 -6.44467465092127 1.49251203057734e-09 3.91185009784161e-07 11.4934059301335
"Esrrb" -0.526611047068227 8.55567689409553 -6.44353685066606 1.5013031566624e-09 3.91185009784161e-07 11.487793478792
"Camsap1" -0.381193344286482 8.4014710663577 -6.43968013689105 1.53148261179695e-09 3.91922809101108e-07 11.4687734689813
"Pdzph1" -0.445167165521118 8.45903274302424 -6.41881311025037 1.70542325784923e-09 4.2877931067083e-07 11.365973966238
"Rtbdn" -0.817693612992507 9.27627016229003 -6.40486438397129 1.83239088954774e-09 4.52758514450149e-07 11.2973603852346
"Fam3c" -0.511960311156362 8.60252723285432 -6.3785913190308 2.09730210098542e-09 5.09431125580035e-07 11.1683500995878
"Smim40" -0.894472197447119 9.4057254715226 -6.36563852163356 2.24143081492995e-09 5.30173742695922e-07 11.1048565926692
"Rs1" -0.903594865120801 9.35445917573821 -6.36431562895327 2.25668817978168e-09 5.30173742695922e-07 11.0983759676466
"Aipl1" -0.828485664494943 9.64617192434428 -6.33709556160661 2.5943052013365e-09 5.99661094199248e-07 10.9651980556784
"Gm47283" -0.577874565577119 8.94068884748739 -6.30783961159545 3.01262257604586e-09 6.85299906941479e-07 10.8224195488915
"Lgals3bp" 0.618166424211746 8.74082940807364 6.29626308827622 3.1958797345464e-09 7.15627382434133e-07 10.7660260407372
"Cnga1" -0.786203985297022 9.1377066960163 -6.26151702687819 3.81427253122179e-09 8.40959071460608e-07 10.5971205017168
"B2m" 0.762830641099771 9.81205722104623 6.23063258369044 4.4617184104849e-09 9.68801311222108e-07 10.4474372972542
"Stk35" -0.541713407468736 8.69271235034173 -6.17210574654552 5.99835088458060e-09 1.28302039592425e-06 10.1649590291456
"Gnb5" -0.665860834951827 9.15499808208625 -6.16371704786215 6.25748332580051e-09 1.31876461091246e-06 10.1245983239339
"Gapdh" -0.840622089042794 11.9453788166326 -6.12404933984089 7.63957846315802e-09 1.58670723123938e-06 9.93417997063127
"Fabp5" 0.650005173158208 8.86141614038188 6.06091905622533 1.04800175276751e-08 2.1455590169873e-06 9.63263033422305
"H2-K1" 0.60523921662028 8.94353389777384 6.051433042362 1.09881139736646e-08 2.21789663882518e-06 9.58747959926594
"Uckl1" -0.495555647992214 8.56847766825038 -6.04809028081468 1.11728603777033e-08 2.22386475101203e-06 9.57157905046445
"Fgf2" 0.367656924143786 8.32254592739718 5.96508648131102 1.68751371321437e-08 3.26883437113445e-06 9.17844661102575
"Fcer1g" 0.476207936559674 8.48591215806056 5.96503956437568 1.6879055436742e-08 3.26883437113445e-06 9.17822532420883
"Cabp4" -0.578521030142812 8.76210692933921 -5.93186865713184 1.98848623609888e-08 3.79959949993775e-06 9.02203710999113
"Ebpl" -0.533455408619096 8.84523180845753 -5.8833557844834 2.52468698926385e-08 4.76069595304476e-06 8.79456761270135
"Stx3" -0.675992210031439 9.205935055215 -5.84945654070432 2.98104606837679e-08 5.54823002674127e-06 8.63630071272953
"Fabp12" -0.559627240023832 8.77029236396141 -5.83162409161248 3.25260894100186e-08 5.97604342737149e-06 8.55327241457306
"Lalba" 0.409071500147848 8.25190011034558 5.83192203733532 3.33482194740216e-08 6.04953586433168e-06 8.53133143191644
"Pex5l" -0.491024493106532 8.59595443492351 -5.80733617909413 3.66179397295777e-08 6.55964617830723e-06 8.44044041296122
"Glb1l2" -0.371631557232205 8.42440224378731 -5.80097994464083 3.77694888429505e-08 6.68240178528794e-06 8.41096024255922
"Ybx3" -0.642017766573674 9.32976554153984 -5.79670100992772 3.85645939681218e-08 6.73986824581895e-06 8.3911259060657
"Mir124-2hg" -0.705830170551723 9.06976972387896 -5.7793560890259 4.19589029730213e-08 7.24473540369117e-06 8.31081982838313
"Crx" -0.785366862796917 9.40111533294407 -5.76680390202844 4.45960559873985e-08 7.60840569470724e-06 8.25279776840642
"Slc24a1" -0.764337258523693 9.3209844035048 -5.71690037375154 5.67816535526691e-08 9.57338678898e-06 8.02290523147391
"Thbs1" 0.696871319987819 8.94174735375668 5.70489429869816 6.01683591482002e-08 1.00264273831728e-05 7.96778463266933
"Nr2e3" -0.766282225166664 9.24353943053068 -5.69106610989921 6.43143737086143e-08 1.05941297657259e-05 7.90438961473515
"A930003A15Rik" -0.619396548868703 9.05169780306517 -5.64331936346209 8.08933866069856e-08 1.31277736997874e-05 7.68624901030789
"Ctsd" 0.862750113790175 10.7873632162664 5.64168935267286 8.15275876966769e-08 1.31277736997874e-05 7.67882270014345
"Lgals3" 0.466559273607609 8.42640906439804 5.6304455389233 8.60367038998899e-08 1.36999111509925e-05 7.62763345646719
"Gpnmb" 0.675491065840613 8.9653870476746 5.61978226640533 9.0537834644116e-08 1.42582165745585e-05 7.57914774976214
"Fscn2" -0.484298176991143 8.64165540683295 -5.61427868207026 9.29502525192201e-08 1.4479022487532e-05 7.55414615526213
"Trf" 1.09976558981526 11.9504628806379 5.60794710853358 9.58034001883456e-08 1.47629949257976e-05 7.52540267586664
"Cebpd" 0.402967945187677 8.43632600282627 5.60502792436005 9.71475179141233e-08 1.48108625449713e-05 7.51215747130056
"Fam169a" -0.57243599178994 8.93763132665865 -5.59933875977173 9.98202363989322e-08 1.49216099676325e-05 7.48635681116669
"Eno1" -0.710601206543195 9.7148951716385 -5.59905301196051 9.9956357329755e-08 1.49216099676325e-05 7.48506137522559
"Ctsb" 0.639493031275245 10.4684692699608 5.59167873197338 1.03532667661197e-07 1.52961511366249e-05 7.45164487302531
"E130310I04Rik" -0.226895144693151 8.17837963615321 -5.58318050106726 1.07809325664133e-07 1.57654637356397e-05 7.41317046135746
"Kcnv2" -0.537684562324069 8.67446063026216 -5.55437921292026 1.23626986193701e-07 1.78959428196155e-05 7.28305895328305
"Edn2" 0.342560056578335 8.25985619441944 5.54643506700228 1.2837499622151e-07 1.83974207085046e-05 7.2472476483175
"Xiap" -0.485009460310935 8.69061659669987 -5.52499107152365 1.42098786425238e-07 2.01625515669315e-05 7.1507471729898
"Eml3" -0.401693258389835 8.53383637066377 -5.52021043142765 1.45348302260231e-07 2.04214364675625e-05 7.12926696683349
"Drd4" -0.47680992818927 8.671834613328 -5.50433050267267 1.56671810598751e-07 2.17986768707835e-05 7.05800305869859
"Pcbp4" -0.605592521171545 9.56096638680669 -5.49068101818657 1.67089816434946e-07 2.30246553781655e-05 6.9968560978538
"Ftl1" 0.847921812637299 10.8045259155624 5.47977126564215 1.75900370233413e-07 2.4007887674429e-05 6.94805422746329
"Cd68" 0.38365895437872 8.35586200506914 5.45407072954614 1.98487062843634e-07 2.68350763925671e-05 6.83334224126086
"Uqcc3" -0.485531033672513 8.77220075909089 -5.44444056388628 2.07659848135397e-07 2.78128344264334e-05 6.79045050313663
"Ndufa4" -0.717539757390523 10.9809828140638 -5.40536609040811 2.49312371603008e-07 3.28894397717205e-05 6.6169322341851
"C1qa" 0.503512347102652 8.66364242676423 5.40191829194389 2.53356568311924e-07 3.28894397717205e-05 6.60166142157244
"Oaz1" -0.683352855972154 10.396903069458 -5.40107652811162 2.54353618803694e-07 3.28894397717205e-05 6.59793410879545
"Nxnl2" -0.50357164314883 8.71698036451016 -5.40074831992841 2.54743410415252e-07 3.28894397717205e-05 6.59648091450947
"Epb41l2" -0.618023575157959 9.2743235075985 -5.36797005820152 2.96752826353499e-07 3.79711138792142e-05 6.4516466314437
"C1qc" 0.520967045461526 8.57495514244737 5.31797140605962 3.74138155110572e-07 4.74493265565452e-05 6.23186069285756
"Cd52" 0.337236279269961 8.30430515109764 5.31428981575011 3.80556504361854e-07 4.78399584562257e-05 6.21573172517249
"Adipor1" -0.665265246306984 9.46227312434938 -5.26840577592534 4.70129840328812e-07 5.85863542761061e-05 6.0153487693062
"Mpp4" -0.614400378186853 9.0502584452967 -5.24828819352205 5.15595508375414e-07 6.36982692286901e-05 5.9278640736714
"Enpp2" -0.729256471434566 9.29211393840865 -5.24379690054592 5.26315842241825e-07 6.44669430356205e-05 5.90836405109978
"Icmt" -0.491135933249411 8.9384404833001 -5.23670389227255 5.43689779532026e-07 6.60306629701141e-05 5.87759124770384
"Cds1" -0.520892327461015 8.83440646941175 -5.22107061806391 5.83977492030182e-07 7.03275751116348e-05 5.80986721436249
"Osbp2" -0.576766918438199 9.18164163845427 -5.16870553481874 7.41236021457087e-07 8.85221118625126e-05 5.58403149425432
"Pitpnm3" -0.426048653996962 8.47436285945688 -5.16333122338003 7.59534760974333e-07 8.99577905745716e-05 5.56094227501803
"Pfkp" -0.455883585105945 8.72181503646189 -5.16023740195509 7.70267308312538e-07 9.04811540608769e-05 5.5476580574974
"Susd3" -0.488993618314701 8.7631326989971 -5.13891089704322 8.48368394921292e-07 9.88452639643661e-05 5.45623627632651
"C1qb" 0.512166310177008 8.6317495974494 5.11425404140993 9.48285964276229e-07 0.000109595856080989 5.35086515134891
"Chil1" 0.607156964036968 8.8909890051111 5.08781391395123 1.06813502243093e-06 0.000122084067683598 5.2382649220278
"Clu" 0.864601755179216 11.5823682869805 5.08672403401702 1.07337886596423e-06 0.000122084067683598 5.23363219512379
"Ctsf" -0.365618604033344 8.55744719550771 -5.06984963546473 1.1578329083656e-06 0.000130652782754231 5.16199306284739
"Id2" 0.46905856305042 8.7177922314938 5.0555280554503 1.23454666366459e-06 0.000138221001851385 5.10132243759708
"Ctsz" 0.559568039586164 8.7744779619728 5.03214659842759 1.37052014093659e-06 0.00015225522588963 5.00253020451636
"Ppm1n" -0.311169201593018 8.36096757798164 -5.00605544646592 1.53943688007057e-06 0.000169705153294549 4.89266948260773
"Sema3f" -0.355019008951983 8.52783893875905 -4.97570940402219 1.76139256417276e-06 0.000192690968222595 4.76540063960972
"Scg5" -0.456015431611172 8.78297549992675 -4.94931835635949 1.9794247902142e-06 0.000214902550519392 4.65516510623003
"Aqp1" -0.363156977395972 8.55488463083015 -4.92497109335525 2.20364217288079e-06 0.00023744658631244 4.55383674062785
"Ift57" 0.275034515733481 8.28365404289707 4.92084636596018 2.24399137336976e-06 0.000239989853520612 4.53670579122281
"Arl3" -0.488829872726409 9.13892515658449 -4.90310443349183 2.42586779356761e-06 0.0002575193433305 4.46313649558477
"Pitpnm1" -0.529594521640486 9.16015796554944 -4.82905717443069 3.35164679347482e-06 0.000353179780862409 4.15815350803332
"Tmsb4x" 0.596165578139596 10.4875219732078 4.82699933624964 3.38173627834173e-06 0.000353749362079674 4.14972561269703
"Plch2" -0.425630625933235 8.70587740997402 -4.81284236637586 3.59594442222264e-06 0.000373431010977338 4.09181615814892
