"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Kcnj14" -1.13692692932733 9.13181702592429 -13.8614001707265 4.2117646170079e-30 6.03587987263402e-26 56.7515072987941
"Reep6" -1.44376719856446 9.83561202355588 -11.8570466845387 2.84436538729888e-24 2.03813001826901e-20 43.9447061872835
"Rho" -2.64356806888761 13.4671756287843 -11.2331740469275 1.79903134530342e-22 8.59397273651445e-19 39.9763458730955
"Nrl" -1.46541324758337 10.2278573269046 -10.8655987854465 2.03854824582934e-21 7.30360872774505e-18 37.6514258994765
"Pkm" -1.1032062138136 11.0307716157423 -9.86778994283214 1.36125515975656e-18 3.90162953889424e-15 31.4171287935696
"Pde6g" -1.94430283312678 11.708131214364 -9.67266607129206 4.76664313120733e-18 1.13851271188887e-14 30.2152071711639
"Gnb1" -1.72375345028888 11.8386756255363 -9.53258316233044 1.1668307544328e-17 2.3888359345395e-14 29.3565522245105
"Rom1" -1.56685681230332 11.068115580214 -9.4470526557806 2.01164270650753e-17 3.60360645336993e-14 28.8341229065629
"Gnat1" -1.89946821012335 12.2904518616569 -9.33348194649898 4.13629024879882e-17 6.5492468335802e-14 28.1426771322278
"Fam57b" -1.10084904480174 9.77961749530633 -9.31773780328441 4.56998592811402e-17 6.5492468335802e-14 28.0470318999577
"Pdc" -1.68551112921955 10.5663922480176 -9.31774085260319 5.78651752190942e-17 7.53878023695308e-14 27.8232037644517
"Prph2" -1.5401151597196 11.1185831119729 -9.16618013426093 1.18999348676245e-16 1.42114972156606e-13 27.1290200127867
"Rcvrn" -1.42064909138714 10.7512752806214 -9.14390773802904 1.36909253668737e-16 1.50926654948205e-13 26.9945338090484
"AI847159" -0.737746033596829 8.90700629042358 -9.06741490923178 2.21393372329187e-16 2.26627744203541e-13 26.5334999339908
"Guca1b" -1.31511281138656 10.2189889612785 -9.01580281092597 3.05957155555911e-16 2.92311466418117e-13 26.2231823918891
"3010001F23Rik" -0.439474872639216 8.53715639629592 -8.97221622674611 4.01875250112389e-16 3.59954638085041e-13 25.9616028055125
"Agpat3" -1.0342179577754 9.97951953193832 -8.86785383777771 7.70595058237208e-16 6.49611634093966e-13 25.3371309649868
"Kcnb1" -0.922174893879103 9.61514461561012 -8.6852457099279 2.3912015568257e-15 1.90379497282606e-12 24.2509733287788
